Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Attributed to Zhang Zeduan ,1085,1145,Landscape after Qingming Shanghe Tu,N/A,Works on Paper,"September 16, 2017",Sotheby's New York,Saturday at Sotheby's: Asian Art,"2,000","4,000","62,500",Premium
Attributed to Zhang Zeduan ,1085,1145,Riverside Scene,N/A,Works on Paper,"June 06, 2017",Poly International Auction Beijing,Connoisseurship In Ancient Arts: Chinese Classical Paintings And Calligraphy Day Sale,"7,355","11,768","15,224",Premium
Zhang Zeduan ,1085,1145,Landscape,N/A,Works on Paper,"December 08, 2015",Poly International Auction Beijing,Chinese Classical Paintings and Calligraphy,"3,125","7,814","19,771",Premium
Zhang Zeduan ,1085,1145,Dragon Boat,N/A,Works on Paper,"June 06, 2015",Poly International Auction Beijing,Ancient Chinese Paintings and Calligraphy,N/A,N/A,"12,976",Premium
Zhang Zeduan ,1085,1145,Maid rolling up the curtain,N/A,Works on Paper,"March 30, 2015",Council Beijing,Spring Auction,N/A,N/A,N/A,Withdrawn
After Zhang Zeduan ,1085,1145,Une ville portuaire animée,N/A,Works on Paper,"June 10, 2013",Tajan Paris,Arts d'Asie,"3,975","6,625","21,617",Premium
Zhang Zeduan ,1085,1145,The scenery of city,N/A,Works on Paper,"June 05, 2011",Poly International Auction Beijing,2011 Spring Auction- Classical Chinese Paintings And Calligraphy,"30,866","46,299","88,741",Premium
Zhang Zeduan ,1085,1145,[Untitled],N/A,Works on Paper,"December 21, 2009",Poly International Auction Beijing,9th Fine Arts Auctions- Chinese Classical Painting And Calligraphies,"4,099","5,124","10,659",Premium
