Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Tang Yin ,1470,1523,Hanging scroll,N/A,Works on Paper,"November 20, 2010",Poly International Auction Beijing,"12th Fine Arts Auction,Chinese Ancient Paintings & Calligraphy (II)","4,518","7,530","13,494",Premium
Tang Yin ,1470,1523,Hanging scroll,N/A,Works on Paper,"November 20, 2010",Poly International Auction Beijing,"12th Fine Arts Auction,Chinese Ancient Paintings & Calligraphy (II)","4,518","7,530","16,868",Premium
Tang Yin ,1470,1523,Hanging scroll,N/A,Works on Paper,"November 20, 2010",Poly International Auction Beijing,"12th Fine Arts Auction,Chinese Ancient Paintings & Calligraphy (II)",N/A,N/A,674,Premium
Tang Yin ,1470,1523,Hanging scroll,N/A,Works on Paper,"November 20, 2010",Poly International Auction Beijing,"12th Fine Arts Auction,Chinese Ancient Paintings & Calligraphy (II)","2,710","3,765","11,807",Premium
Tang Yin ,1470,1523,Hanging scroll,N/A,Works on Paper,"November 20, 2010",Poly International Auction Beijing,"12th Fine Arts Auction,Chinese Ancient Paintings & Calligraphy (II)","1,204","1,807","1,349",Premium
Tang Yin ,1470,1523,Hanging scroll,N/A,Works on Paper,"November 20, 2010",Poly International Auction Beijing,"12th Fine Arts Auction,Chinese Ancient Paintings & Calligraphy (II)","1,204","1,807","4,217",Premium
Tang Yin ,1470,1523,Hand scroll,N/A,Works on Paper,"November 20, 2010",Poly International Auction Beijing,"12th Fine Arts Auction,Chinese Ancient Paintings & Calligraphy (II)",N/A,N/A,"3,711",Premium
Tang Yin ,1470,1523,Bush,N/A,Works on Paper,"June 04, 2010",Council Beijing,Spring 2010 Auction,"1,757,784","2,197,230","2,378,867",Premium
Tang Yin ,1470,1523,[Untitled],N/A,Works on Paper,"December 21, 2009",Poly International Auction Beijing,9th Fine Arts Auctions- Chinese Classical Painting And Calligraphies,N/A,N/A,"2,951",Premium
Tang Yin ,1470,1523,[Untitled],N/A,Works on Paper,"December 21, 2009",Poly International Auction Beijing,9th Fine Arts Auctions- Chinese Classical Painting And Calligraphies,732,"1,171",819,Premium
Tang Yin ,1470,1523,[Untitled],N/A,Works on Paper,"December 21, 2009",Poly International Auction Beijing,9th Fine Arts Auctions- Chinese Classical Painting And Calligraphies,"4,099","5,564","8,199",Premium
Tang Yin ,1470,1523,[Untitled],N/A,Works on Paper,"December 21, 2009",Poly International Auction Beijing,9th Fine Arts Auctions- Chinese Classical Painting And Calligraphies,N/A,N/A,655,Premium
After Tang Yin ,1470,1523,Landscape after the style of Tang Yin,N/A,Works on Paper,"December 12, 2009",Hosane Shanghai,Autumn Auction 2009 - Chinese Painting and Calligraphy,"11,718","13,183","16,405",Premium
Tang Yin ,1470,1523,Journey to the west,N/A,Works on Paper,"November 24, 2009",Poly International Auction Beijing,2009 Autumn Auctions- Classical Chinese Painting and Calligraphy (Day Session),"11,711","17,567","37,711",Premium
