Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Yoshitomo Nara ,1959,,Baby Baby I Never Dream,2007,Ceramics,"March 23, 2017",Christie's Hong Kong,First Open,"77,220","102,960","176,962",Premium
Jeff Koons ,1955,,Puppy (vase),1998,Ceramics,"March 23, 2017",Christie's Hong Kong,First Open,"7,722","10,296",N/A,Bought In
Keith Haring ,1958,1990,Untitled,1989,Ceramics,"March 23, 2017",Christie's Hong Kong,First Open,"12,870","19,305","22,522",Premium
Keith Haring ,1958,1990,Untitled,1989,Ceramics,"March 23, 2017",Christie's Hong Kong,First Open,"10,296","15,444","19,305",Premium
Cheong Soo Pieng ,1917,1983,Golden afternoon,1977,Ceramics,"November 27, 2016",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"8,378","9,667","14,501",Premium
Chu Teh-Chun ,1920,2014,Rectangular vase F26,2005,Ceramics,"November 27, 2016",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"12,889","25,779","17,723",Premium
Patek Philippe est. 1851,N/A,N/A,A Dome table clock with cloisonné enamel,N/A,Metalware,"May 30, 2016",Christie's Hong Kong,30 Years: The Sale,"102,966","154,449","159,597",Premium
Chu Teh-Chun ,1920,2014,Rectangular vase F27,2005,Ceramics,"May 29, 2016",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"12,875","25,750","16,094",Premium
Yang Shanshen ,1913,2004,Flowers,N/A,Ceramics,"December 01, 2015",Christie's Hong Kong,Fine Chinese Modern Paintings,"9,029","11,609","32,249",Premium
